Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0170X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,227 Nom.,,0.17,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0250X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,171 Nom.,,0.25,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G0500X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,103 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_20_10_6.pdf,B66311G1000X127 (N27),Production,EPCOS,E(EE),E 20/10/6,20.4,10.1,5.9,For general purpose,Mn-Zn,N27,60 Nom.,,1.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_20_9_6.pdf,B66312G0000X127 (N27),Production,EPCOS,E(EE),E 20/9/6,20.4,9.35,5.9,For general purpose,Mn-Zn,N27,"1300 +30,-20%","0.25 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_21_9_5.pdf,B66314G0000X127 (N27),Production,EPCOS,E(EE),E 21/9/5,21.1,8.7,5.0,For general purpose,Mn-Zn,N27,"900 +30,-20%","0.18 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_25_4_10_7.pdf,B66315G0000X127 (N27),Production,EPCOS,E(EE),E 25.4/10/7,25.4,9.78,6.5,For general purpose,Mn-Zn,N27,"1500 +30,-20%","0.36 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_25_4_10_7.pdf,B66315G0500X127 (N27),Production,EPCOS,E(EE),E 25.4/10/7,25.4,9.78,6.5,For general purpose,Mn-Zn,N27,122 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0000X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,"1750 +30,-20%","0.59 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0100X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,489 Nom.,,0.1,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0160X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,347 Nom.,,0.16,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0250X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,250 Nom.,,0.25,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0500X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,151 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G1000X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,91 Nom.,,1.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0000X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,"1700 +30,-20%","0.81 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0100X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,460 Nom.,,0.1,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0180X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,300 Nom.,,0.18,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0340X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,195 Nom.,,0.34,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0500X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,145 Nom.,,0.5,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G1000X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,90 Nom.,,1.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_10_5_5_5.pdf,B66322G0000X127 (N27),Production,EPCOS,E(EE),E 10/5.5/5,10.2,5.5,4.8,For general purpose,Mn-Zn,N27,750 ±25%,"0.41 (200mT, 100kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0000X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,"3500 +30,-20%","3.3 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0100X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,1497 Nom.,,0.1,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0250X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,759 Nom.,,0.25,2000,410 (100°C),,220
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_42_21_15.pdf,B66325G0500X127 (N27),Production,EPCOS,E(EE),E 42/21/15,42.0,21.2,15.2,For general purpose,Mn-Zn,N27,454 Nom.,,0.5,2000,410 (100°C),,220
