Catalog / Data Sheet,Part No.,Status,Brand,Core Shape,Size (IEC62317) A x B x C,Dimm. A,Dimm. B,Dimm. C,Feature,Ferrite Material,Material Name,AL Value / (nH / N²),Core Loss / (W / set),Air Gap / mm,Initial Permeability μi,Saturation Magnetic Flux Density Bs / mT,Relative Loss Factor (Max.) (tanδ / μi) 10⁻⁶,Curie Temperature Tc(Min.) / °C,material_name,core_shape,A_L_clean,A_L_H_per_turn2,B_s_clean,B_s_T,gap_clean,gap_m,mu_i,Sigma_l_over_A_mm_inv,le_m,Ae_m2,Ve_m3
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_21_9_5.pdf,B66314G0000X127 (N27),Production,EPCOS,E(EE),E 21/9/5,21.1,8.7,5.0,For general purpose,Mn-Zn,N27,"900 +30,-20%","0.18 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),900,9.000000000000001e-07,410,0.41000000000000003,0.0,0.0,2000,,0.0434,2.16e-05,9.370000000000001e-07
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_25_4_10_7.pdf,B66315G0000X127 (N27),Production,EPCOS,E(EE),E 25.4/10/7,25.4,9.78,6.5,For general purpose,Mn-Zn,N27,"1500 +30,-20%","0.36 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),1500,1.5e-06,410,0.41000000000000003,0.0,0.0,2000,,0.0492,3.8799999999999994e-05,1.91e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-core/data_sheet/80/db/fer/e_25_4_10_7.pdf,B66315G0500X127 (N27),Production,EPCOS,E(EE),E 25.4/10/7,25.4,9.78,6.5,For general purpose,Mn-Zn,N27,122 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),122,1.22e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.0492,3.8799999999999994e-05,1.91e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0000X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,"1750 +30,-20%","0.59 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),1750,1.7500000000000002e-06,410,0.41000000000000003,0.0,0.0,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0100X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,489 Nom.,,0.1,2000,410 (100°C),,220,N27,E(EE),489,4.89e-07,410,0.41000000000000003,0.1,0.0001,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0160X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,347 Nom.,,0.16,2000,410 (100°C),,220,N27,E(EE),347,3.47e-07,410,0.41000000000000003,0.16,0.00016,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0250X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,250 Nom.,,0.25,2000,410 (100°C),,220,N27,E(EE),250,2.5000000000000004e-07,410,0.41000000000000003,0.25,0.00025,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G0500X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,151 Nom.,,0.5,2000,410 (100°C),,220,N27,E(EE),151,1.5100000000000002e-07,410,0.41000000000000003,0.5,0.0005,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_25_13_7.pdf,B66317G1000X127 (N27),Production,EPCOS,E(EE),E 25/13/7,25.0,12.8,7.5,For general purpose,Mn-Zn,N27,91 Nom.,,1.0,2000,410 (100°C),,220,N27,E(EE),91,9.100000000000001e-08,410,0.41000000000000003,1.0,0.001,2000,,0.0575,5.2499999999999995e-05,3.0200000000000003e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0000X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,"1700 +30,-20%","0.81 (200mT, 25kHz, 100°C)",0.0,2000,410 (100°C),,220,N27,E(EE),1700,1.7e-06,410,0.41000000000000003,0.0,0.0,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0100X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,460 Nom.,,0.1,2000,410 (100°C),,220,N27,E(EE),460,4.6000000000000004e-07,410,0.41000000000000003,0.1,0.0001,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0180X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,300 Nom.,,0.18,2000,410 (100°C),,220,N27,E(EE),300,3.0000000000000004e-07,410,0.41000000000000003,0.18,0.00017999999999999998,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
https://product.tdk.com/system/files/dam/doc/product/ferrite/ferrite/ferrite-acc/data_sheet/80/db/fer/e_30_15_7.pdf,B66319G0340X127 (N27),Production,EPCOS,E(EE),E 30/15/7,30.0,15.2,7.3,For general purpose,Mn-Zn,N27,195 Nom.,,0.34,2000,410 (100°C),,220,N27,E(EE),195,1.95e-07,410,0.41000000000000003,0.34,0.00034,2000,,0.067,5.9999999999999995e-05,4.000000000000001e-06
