#
#"Frequency / Hz"	"Z4,4 [SPara1] [Magnitude / Ohm]"
#--------------------------------------------------
155043.33253498	245.16252511226
156855.17518393	250.38982908653
158688.19109929	253.61722003041
160542.62771270	257.43470749783
162418.73534731	261.12814353284
164316.76725155	265.75106882090
166236.97963332	269.56253156122
168179.63169457	275.08826910416
170144.98566631	277.90839627814
172133.30684397	283.13159872129
174144.86362326	286.81443254756
176179.92753636	291.52353796094
178238.77328858	296.50973795773
180321.67879545	301.65673579562
182428.92522024	306.06664778884
184560.79701190	312.29244481685
186717.58194346	317.23544954151
188899.57115089	321.07983387881
191107.05917236	329.53710830401
193340.34398804	334.34591792641
195599.72706033	338.95113699151
197885.51337449	345.87190473668
200198.01147989	350.65357854009
202537.53353159	356.53194566368
204904.39533252	364.44780535559
207298.91637609	370.63013760189
209721.41988934	377.31110089520
212172.23287653	383.51437710396
214651.68616332	392.10995194940
217160.11444141	399.07236662777
219697.85631371	407.19819139639
222265.25434008	416.77478370800
224862.65508353	423.89518820349
227490.40915703	432.26321892153
230148.87127080	442.06164999799
232838.40028026	450.94575934615
235559.35923441	460.75205044128
238312.11542484	470.34610121472
241097.04043534	479.71622284889
243914.51019205	489.31691341769
246764.90501418	503.01652171618
249648.60966538	511.70965441004
252566.01340566	524.80796118288
255517.51004393	537.52221655875
258503.49799119	551.31931026685
261524.38031425	563.01793112583
264580.56479020	577.24491498948
267672.46396144	591.98409136537
270800.49519132	608.88278879301
273965.08072056	623.98568838944
277166.64772416	639.26801645648
280405.62836914	657.62788810754
283682.45987281	677.25947730186
286997.58456184	697.57169647016
290351.44993195	718.30537059710
293744.50870829	739.86975366777
297177.21890660	762.33457991003
300650.04389500	787.31731966917
304163.45245654	813.50194547054
307717.91885249	839.73336489048
311313.92288638	868.59077118015
314951.94996872	899.95806605828
318632.49118254	934.86140464295
322356.04334971	970.50722822305
326123.10909797	1005.8158901538
329934.19692877	1057.0416825455
333789.82128597	1095.5211793313
337690.50262520	1148.8796912792
341636.76748418	1197.2542494490
345629.14855376	1251.6614772494
349668.18474985	1321.0388424612
353754.42128613	1397.3283477759
357888.40974768	1476.5056125566
362070.70816545	1556.0115389906
366301.88109152	1658.2052934145
370582.49967538	1771.8757616869
374913.14174098	1910.3240814225
379294.39186475	2031.5196147503
383726.84145450	2193.4228048052
388211.08882926	2397.0640737455
392747.73930004	2603.4321809723
397337.40525154	2895.1287211408
401980.70622481	3256.0943621315
406678.26900087	3670.9040446960
411430.72768535	4158.8857088600
416238.72379406	4803.5107447806
421102.90633957	5566.1992867798
426023.93191887	6256.1855941836
431002.46480192	6941.7120160798
436039.17702142	7630.5599472066
441134.74846344	7336.5479483100
446289.86695923	6741.4874853724
451505.22837807	5960.9219433103
456781.53672119	5175.6929961841
462119.50421682	4511.0899789979
467519.85141629	3965.9649639334
472983.30729135	3483.4600567122
478510.60933253	3114.4634740913
484102.50364871	2817.2340538479
489759.74506782	2539.4097097527
495483.09723876	2347.1684070220
501273.33273443	2154.9485615626
507131.23315608	1990.7349910639
513057.58923875	1843.3616738399
519053.20095808	1735.5636910057
525118.87763823	1631.6909590590
531255.43806117	1523.0221914388
537463.71057717	1450.3620886245
543744.53321665	1373.7176270552
550098.75380330	1304.0763867636
556527.23006848	1243.6385048033
563030.82976705	1177.6884385955
569610.43079450	1130.7174727572
576266.92130542	1085.4995437282
583001.19983342	1042.3758495877
589814.17541242	999.42437047071
596706.76769934	959.99026572143
603679.90709823	927.19190302566
610734.53488590	891.02527447656
617871.60333897	859.39409565544
625092.07586237	831.85135921319
632396.92711944	806.87351413260
639787.14316347	780.46424042526
647263.72157081	753.96165786911
654827.67157554	731.82475263129
662480.01420566	711.41860084669
670221.78242097	691.26415419420
678054.02125247	671.75328777323
685977.78794345	653.63121657381
693994.15209215	635.76091220547
702104.19579621	619.44141075114
710309.01379872	603.15040686460
718609.71363593	588.39183133804
727007.41578686	574.14329067549
735503.25382445	561.27054906722
744098.37456865	546.27459549009
752793.93824118	534.18542603995
761591.11862214	522.47167917245
770491.10320852	510.94220789578
779495.09337440	499.00345510060
788604.30453319	488.07892010391
797819.96630166	477.88524259298
807143.32266595	466.97146034361
816575.63214944	457.91519360983
826118.16798269	448.40258197142
835772.21827529	439.94976901661
845539.08618970	431.13193132021
855420.09011721	422.38262100453
865416.56385589	414.28623852758
875529.85679062	406.26639195246
885761.33407523	398.24688924769
896112.37681683	391.23656060015
906584.38226217	383.34929025360
917178.76398629	377.20231374967
927896.95208333	370.33526657270
938740.39335957	363.35731611881
949710.55152872	357.32056690359
960808.90740952	350.61287236855
972036.95912560	344.74082854144
983396.22230774	338.93251290140
994888.23029842	333.28366337765
1006514.5343588	327.23179986738
1018276.7038783	321.59125978346
1030176.3265861	316.69958899690
1042215.0087656	311.21607508421
1054394.3754716	306.27574090662
1066716.0707490	301.63159296269
1079181.7578554	296.56808111862
1091793.1194849	291.55731652216
1104551.8579961	287.03712815566
1117459.6956410	282.44848995468
1130518.3747983	277.91856860941
1143729.6582079	273.57348278519
1157095.3292092	269.31154868467
1170617.1919819	265.25835370609
1184297.0717894	261.33605480040
1198136.8152250	257.38360121920
1212138.2904617	253.35612381968
1226303.3875038	249.70354007168
1240634.0184423	245.70772879759
1255132.1177130	242.29008217803
1269799.6423576	238.67911691985
1284638.5722879	235.16857665229
1299650.9105530	231.56253330184
1314838.6836096	228.33256408693
1330203.9415959	225.04127872242
1345748.7586079	221.76458349875
1361475.2329796	218.72987030702
1377385.4875663	215.50401767045
1393481.6700310	212.57409291413
1409765.9531344	209.57861815537
1426240.5350282	206.51297268196
1442907.6395516	203.67914165472
1459769.5165320	200.85286584244
1476828.4420882	197.94854710267
1494086.7189377	195.27965110688
1511546.6767078	192.48861824494
1529210.6722500	189.76153168771
1547081.0899578	187.17053978460
1565160.3420890	184.72937951456
1583450.8690913	182.28415398222
1601955.1399311	179.65998653022
1620675.6524277	177.19874366461
1639614.9335897	174.78354552086
1658775.5399568	172.42802378366
1678160.0579440	170.21142083832
1697771.1041918	167.82881933882
1717611.3259184	165.56918889073
1737683.4012778	163.39769855809
1757990.0397210	161.17925745099
1778533.9823615	159.01217917750
1799318.0023459	156.88722566525
1820344.9052277	154.89631791847
1841617.5293461	152.74403491334
1863138.7462096	150.75610941994
1884911.4608830	148.76173565862
1906938.6123798	146.85821110001
1929223.1740592	144.83192801849
1951768.1540267	142.93292060569
1974576.5955412	141.01595602036
1997651.5774248	139.19911631195
2020996.2144791	137.30763212019
2044613.6579053	135.56793457518
2068507.0957298	133.73519716292
2092679.7532341	132.01723693404
